"agency_id","agency_name","agency_url","agency_timezone","agency_lang","agency_phone","agency_fare_url","agency_email"
"102822-Gbaka d'Abobo","Gbaka d'Abobo","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Gbaka d'Adjamé","Gbaka d'Adjamé","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Gbaka d'Attécoubé","Gbaka d'Attécoubé","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Gbaka de Bingerville","Gbaka de Bingerville","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Gbaka de Cocody","Gbaka de Cocody","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Gbaka de Grand-Bassam","Gbaka de Grand-Bassam","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Gbaka de Koumassi","Gbaka de Koumassi","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Gbaka de Port-Bouët","Gbaka de Port-Bouët","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Gbaka de Treichville","Gbaka de Treichville","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Gbaka de Yopougon","Gbaka de Yopougon","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro Banalisé","Woro-woro Banalisé","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro d'Abobo","Woro-woro d'Abobo","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro d'Adjamé","Woro-woro d'Adjamé","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro d'Anyama","Woro-woro d'Anyama","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro d'Attecoube","Woro-woro d'Attécoubé","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro d'Attecoubé","Woro-woro d'Attécoubé","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro d'Attécoubé","Woro-woro d'Attécoubé","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro de Bassam","Woro-woro de Bassam","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro de Bingerville","Woro-woro de Bingerville","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro de Cocody","Woro-woro de Cocody","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro de Koumassi","Woro-woro de Koumassi","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro de Marcory","Woro-woro de Marcory","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro de Port-Bouët","Woro-woro de Port-Bouët","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro de Treichville","Woro-woro de Treichville","https://data-transport.org","Africa/Abidjan","fr","","",""
"102822-Woro-woro de Yopougon","Woro-woro de Yopougon","https://data-transport.org","Africa/Abidjan","fr","","",""
