"trip_id","start_time","end_time","headway_secs","exact_times"
"102822-0","05:00:00","22:00:00","900","0"
"102822-1","05:00:00","22:00:00","900","0"
"102822-10","05:00:00","22:00:00","600","0"
"102822-100","05:00:00","22:00:00","420","0"
"102822-101","05:00:00","22:00:00","420","0"
"102822-102","05:00:00","22:00:00","1200","0"
"102822-103","05:00:00","22:00:00","1200","0"
"102822-104","05:00:00","07:00:00","7200","0"
"102822-104","07:00:00","09:00:00","2400","0"
"102822-104","09:00:00","17:00:00","840","0"
"102822-104","17:00:00","20:00:00","10800","0"
"102822-105","05:00:00","07:00:00","7200","0"
"102822-105","07:00:00","09:00:00","2400","0"
"102822-105","09:00:00","17:00:00","840","0"
"102822-105","17:00:00","20:00:00","10800","0"
"102822-106","05:00:00","07:00:00","1440","0"
"102822-106","07:00:00","17:00:00","1800","0"
"102822-106","17:00:00","20:00:00","720","0"
"102822-107","05:00:00","07:00:00","1440","0"
"102822-107","07:00:00","17:00:00","1800","0"
"102822-107","17:00:00","20:00:00","720","0"
"102822-108","05:00:00","22:00:00","1200","0"
"102822-109","05:00:00","22:00:00","1200","0"
"102822-11","05:00:00","22:00:00","600","0"
"102822-110","05:00:00","22:00:00","3600","0"
"102822-111","05:00:00","22:00:00","3600","0"
"102822-112","05:00:00","22:00:00","2400","0"
"102822-113","05:00:00","22:00:00","2400","0"
"102822-114","05:00:00","22:00:00","1800","0"
"102822-115","05:00:00","22:00:00","1800","0"
"102822-116","05:00:00","22:00:00","2400","0"
"102822-117","05:00:00","22:00:00","2400","0"
"102822-118","05:00:00","22:00:00","1200","0"
"102822-119","05:00:00","22:00:00","1200","0"
"102822-12","05:00:00","07:00:00","3600","0"
"102822-12","07:00:00","09:00:00","600","0"
"102822-12","09:00:00","17:00:00","1800","0"
"102822-12","17:00:00","20:00:00","600","0"
"102822-120","05:00:00","22:00:00","2400","0"
"102822-121","05:00:00","22:00:00","2400","0"
"102822-122","05:00:00","22:00:00","3600","0"
"102822-123","05:00:00","22:00:00","3600","0"
"102822-124","05:00:00","22:00:00","3600","0"
"102822-125","05:00:00","22:00:00","3600","0"
"102822-126","05:00:00","22:00:00","2400","0"
"102822-127","05:00:00","22:00:00","2400","0"
"102822-128","05:00:00","22:00:00","300","0"
"102822-129","05:00:00","22:00:00","300","0"
"102822-13","05:00:00","07:00:00","3600","0"
"102822-13","07:00:00","09:00:00","600","0"
"102822-13","09:00:00","17:00:00","1800","0"
"102822-13","17:00:00","20:00:00","600","0"
"102822-130","05:00:00","22:00:00","300","0"
"102822-131","05:00:00","22:00:00","300","0"
"102822-132","05:00:00","22:00:00","300","0"
"102822-133","05:00:00","22:00:00","300","0"
"102822-134","05:00:00","22:00:00","900","0"
"102822-135","05:00:00","22:00:00","900","0"
"102822-136","05:00:00","22:00:00","900","0"
"102822-137","05:00:00","22:00:00","900","0"
"102822-138","05:00:00","22:00:00","900","0"
"102822-139","05:00:00","22:00:00","900","0"
"102822-14","05:00:00","22:00:00","1800","0"
"102822-140","05:00:00","22:00:00","300","0"
"102822-141","05:00:00","22:00:00","300","0"
"102822-142","05:00:00","22:00:00","420","0"
"102822-143","05:00:00","22:00:00","420","0"
"102822-144","05:00:00","22:00:00","600","0"
"102822-145","05:00:00","22:00:00","600","0"
"102822-146","05:00:00","22:00:00","300","0"
"102822-147","05:00:00","22:00:00","300","0"
"102822-148","05:00:00","22:00:00","300","0"
"102822-149","05:00:00","22:00:00","300","0"
"102822-15","05:00:00","22:00:00","1800","0"
"102822-150","05:00:00","22:00:00","3600","0"
"102822-151","05:00:00","22:00:00","3600","0"
"102822-152","05:00:00","22:00:00","3600","0"
"102822-153","05:00:00","22:00:00","3600","0"
"102822-154","05:00:00","22:00:00","900","0"
"102822-155","05:00:00","22:00:00","900","0"
"102822-156","05:00:00","22:00:00","300","0"
"102822-157","05:00:00","22:00:00","300","0"
"102822-158","05:00:00","22:00:00","300","0"
"102822-159","05:00:00","22:00:00","300","0"
"102822-16","05:00:00","22:00:00","300","0"
"102822-160","05:00:00","22:00:00","300","0"
"102822-161","05:00:00","22:00:00","300","0"
"102822-162","05:00:00","22:00:00","300","0"
"102822-163","05:00:00","22:00:00","300","0"
"102822-164","05:00:00","22:00:00","300","0"
"102822-165","05:00:00","22:00:00","300","0"
"102822-166","05:00:00","22:00:00","600","0"
"102822-167","05:00:00","22:00:00","600","0"
"102822-168","05:00:00","22:00:00","300","0"
"102822-169","05:00:00","22:00:00","300","0"
"102822-17","05:00:00","22:00:00","300","0"
"102822-170","05:00:00","22:00:00","300","0"
"102822-171","05:00:00","22:00:00","300","0"
"102822-172","05:00:00","22:00:00","300","0"
"102822-173","05:00:00","22:00:00","300","0"
"102822-174","05:00:00","22:00:00","300","0"
"102822-175","05:00:00","22:00:00","300","0"
"102822-176","05:00:00","22:00:00","3600","0"
"102822-177","05:00:00","22:00:00","3600","0"
"102822-178","05:00:00","22:00:00","3600","0"
"102822-179","05:00:00","22:00:00","3600","0"
"102822-18","09:00:00","17:00:00","720","0"
"102822-18","17:00:00","20:00:00","300","0"
"102822-18","20:00:00","22:00:00","1200","0"
"102822-180","05:00:00","22:00:00","300","0"
"102822-181","05:00:00","22:00:00","300","0"
"102822-182","05:00:00","22:00:00","300","0"
"102822-183","05:00:00","22:00:00","300","0"
"102822-184","05:00:00","22:00:00","300","0"
"102822-185","05:00:00","22:00:00","300","0"
"102822-186","05:00:00","22:00:00","300","0"
"102822-187","05:00:00","22:00:00","300","0"
"102822-188","05:00:00","22:00:00","300","0"
"102822-189","05:00:00","22:00:00","300","0"
"102822-19","09:00:00","17:00:00","720","0"
"102822-19","17:00:00","20:00:00","300","0"
"102822-19","20:00:00","22:00:00","1200","0"
"102822-190","05:00:00","22:00:00","300","0"
"102822-191","05:00:00","22:00:00","300","0"
"102822-192","05:00:00","22:00:00","300","0"
"102822-193","05:00:00","22:00:00","300","0"
"102822-194","05:00:00","22:00:00","300","0"
"102822-195","05:00:00","22:00:00","300","0"
"102822-196","05:00:00","22:00:00","300","0"
"102822-197","05:00:00","22:00:00","300","0"
"102822-198","05:00:00","22:00:00","3600","0"
"102822-199","05:00:00","22:00:00","3600","0"
"102822-2","05:00:00","22:00:00","600","0"
"102822-20","05:00:00","22:00:00","3600","0"
"102822-200","05:00:00","22:00:00","3600","0"
"102822-201","05:00:00","22:00:00","3600","0"
"102822-202","05:00:00","22:00:00","3600","0"
"102822-203","05:00:00","22:00:00","3600","0"
"102822-204","05:00:00","22:00:00","3600","0"
"102822-205","05:00:00","22:00:00","3600","0"
"102822-206","05:00:00","22:00:00","3600","0"
"102822-207","05:00:00","22:00:00","3600","0"
"102822-208","05:00:00","22:00:00","3600","0"
"102822-209","05:00:00","22:00:00","3600","0"
"102822-21","05:00:00","22:00:00","3600","0"
"102822-210","05:00:00","22:00:00","300","0"
"102822-211","05:00:00","22:00:00","300","0"
"102822-212","05:00:00","22:00:00","3600","0"
"102822-213","05:00:00","22:00:00","3600","0"
"102822-214","05:00:00","22:00:00","3600","0"
"102822-215","05:00:00","22:00:00","3600","0"
"102822-216","05:00:00","22:00:00","300","0"
"102822-217","05:00:00","22:00:00","300","0"
"102822-218","05:00:00","22:00:00","3600","0"
"102822-219","05:00:00","22:00:00","3600","0"
"102822-22","05:00:00","07:00:00","1800","0"
"102822-22","07:00:00","09:00:00","420","0"
"102822-22","09:00:00","17:00:00","1800","0"
"102822-220","05:00:00","22:00:00","3600","0"
"102822-221","05:00:00","22:00:00","3600","0"
"102822-222","05:00:00","22:00:00","3600","0"
"102822-223","05:00:00","22:00:00","3600","0"
"102822-224","05:00:00","22:00:00","1200","0"
"102822-225","05:00:00","22:00:00","1800","0"
"102822-226","05:00:00","22:00:00","3600","0"
"102822-227","05:00:00","22:00:00","3600","0"
"102822-228","05:00:00","22:00:00","300","0"
"102822-229","05:00:00","22:00:00","300","0"
"102822-23","05:00:00","07:00:00","1800","0"
"102822-23","07:00:00","09:00:00","420","0"
"102822-23","09:00:00","17:00:00","1800","0"
"102822-230","05:00:00","22:00:00","300","0"
"102822-231","05:00:00","22:00:00","300","0"
"102822-232","05:00:00","22:00:00","600","0"
"102822-233","05:00:00","22:00:00","600","0"
"102822-234","05:00:00","22:00:00","900","0"
"102822-235","05:00:00","22:00:00","900","0"
"102822-236","05:00:00","22:00:00","600","0"
"102822-237","05:00:00","22:00:00","600","0"
"102822-238","05:00:00","22:00:00","1200","0"
"102822-239","05:00:00","22:00:00","1200","0"
"102822-24","05:00:00","07:00:00","3600","0"
"102822-24","07:00:00","09:00:00","540","0"
"102822-24","09:00:00","17:00:00","1800","0"
"102822-240","05:00:00","22:00:00","600","0"
"102822-241","05:00:00","22:00:00","600","0"
"102822-242","05:00:00","22:00:00","600","0"
"102822-243","05:00:00","22:00:00","600","0"
"102822-244","05:00:00","22:00:00","600","0"
"102822-245","05:00:00","22:00:00","600","0"
"102822-246","05:00:00","22:00:00","600","0"
"102822-247","05:00:00","22:00:00","600","0"
"102822-248","05:00:00","22:00:00","900","0"
"102822-249","05:00:00","22:00:00","900","0"
"102822-25","05:00:00","07:00:00","3600","0"
"102822-25","07:00:00","09:00:00","540","0"
"102822-25","09:00:00","17:00:00","1800","0"
"102822-250","05:00:00","22:00:00","1200","0"
"102822-251","05:00:00","22:00:00","1200","0"
"102822-252","05:00:00","22:00:00","900","0"
"102822-253","05:00:00","22:00:00","900","0"
"102822-254","05:00:00","22:00:00","600","0"
"102822-255","05:00:00","22:00:00","600","0"
"102822-256","05:00:00","22:00:00","900","0"
"102822-257","05:00:00","22:00:00","900","0"
"102822-258","05:00:00","22:00:00","600","0"
"102822-259","05:00:00","22:00:00","600","0"
"102822-26","05:00:00","22:00:00","3600","0"
"102822-260","05:00:00","22:00:00","900","0"
"102822-261","05:00:00","22:00:00","900","0"
"102822-262","05:00:00","22:00:00","600","0"
"102822-263","05:00:00","22:00:00","600","0"
"102822-264","05:00:00","22:00:00","900","0"
"102822-265","05:00:00","22:00:00","900","0"
"102822-266","05:00:00","22:00:00","600","0"
"102822-267","05:00:00","22:00:00","600","0"
"102822-268","05:00:00","22:00:00","600","0"
"102822-269","05:00:00","22:00:00","600","0"
"102822-27","05:00:00","22:00:00","3600","0"
"102822-270","05:00:00","22:00:00","300","0"
"102822-271","05:00:00","22:00:00","300","0"
"102822-272","05:00:00","22:00:00","600","0"
"102822-273","05:00:00","22:00:00","600","0"
"102822-274","05:00:00","22:00:00","600","0"
"102822-275","05:00:00","22:00:00","600","0"
"102822-276","05:00:00","22:00:00","600","0"
"102822-277","05:00:00","22:00:00","600","0"
"102822-278","05:00:00","22:00:00","600","0"
"102822-279","05:00:00","22:00:00","600","0"
"102822-28","05:00:00","07:00:00","7200","0"
"102822-28","07:00:00","09:00:00","780","0"
"102822-28","09:00:00","17:00:00","2220","0"
"102822-280","05:00:00","22:00:00","1500","0"
"102822-281","05:00:00","22:00:00","1500","0"
"102822-282","05:00:00","22:00:00","600","0"
"102822-283","05:00:00","22:00:00","600","0"
"102822-284","05:00:00","22:00:00","900","0"
"102822-285","05:00:00","22:00:00","900","0"
"102822-286","05:00:00","22:00:00","600","0"
"102822-287","05:00:00","22:00:00","600","0"
"102822-288","05:00:00","22:00:00","180","0"
"102822-289","05:00:00","22:00:00","180","0"
"102822-29","05:00:00","07:00:00","7200","0"
"102822-29","07:00:00","09:00:00","780","0"
"102822-29","09:00:00","17:00:00","2220","0"
"102822-290","05:00:00","22:00:00","300","0"
"102822-291","05:00:00","22:00:00","300","0"
"102822-292","05:00:00","22:00:00","900","0"
"102822-293","05:00:00","22:00:00","900","0"
"102822-294","05:00:00","22:00:00","600","0"
