"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order","continuous_pickup","continuous_drop_off"
"102822-10179006","102822-Gbaka d'Adjamé","","gbaka : Adjamé Liberté ↔ Treichville Gare de Bassam","","3","","1779C2","FFFFFF","","",""
"102822-10179435","102822-Gbaka d'Abobo","","gbaka : Adjamé ↔ Abobo Gare Mairie","","3","","1779C2","FFFFFF","","",""
"102822-10184139","102822-Gbaka d'Abobo","","gbaka : Adjamé Liberté ↔ Abobo Gare Mairie","","3","","1779C2","FFFFFF","","",""
"102822-10184730","102822-Gbaka d'Abobo","","gbaka : Abobo Gare Mairie ↔Akeïkoi Village","","3","","1779C2","FFFFFF","","",""
"102822-10184964","102822-Gbaka d'Abobo","","gbaka : Abobo Gare Mairie ↔ Kennedy Marché","","3","","1779C2","FFFFFF","","",""
"102822-10185142","102822-Gbaka d'Abobo","","gbaka : Abobo Gare Mairie ↔ Kennedy Mosquée Ado","","3","","1779C2","FFFFFF","","",""
"102822-10185169","102822-Gbaka d'Adjamé","","gbaka : Adjamé gare en haut ↔ Cocody Riviera M'badon","","3","","1779C2","FFFFFF","","",""
"102822-10185403","102822-Gbaka d'Adjamé","","gbaka : Adjamé gare en haut ↔ Cocody Attoban Camp","","3","","1779C2","FFFFFF","","",""
"102822-10185406","102822-Gbaka d'Abobo","","gbaka : Abobo Gare Mairie ↔ Abobo PK 18","","3","","1779C2","FFFFFF","","",""
"102822-10402404","102822-Gbaka d'Adjamé","","gbaka : Adjamé Liberté ↔ Cocody Riviera 2","","3","","1779C2","FFFFFF","","",""
"102822-10402518","102822-Gbaka d'Adjamé","","gbaka : Adjamé Gare en Haut ↔ Cocody Anono","","3","","1779C2","FFFFFF","","",""
"102822-10402749","102822-Gbaka d'Adjamé","","gbaka : Adjamé gare en haut ↔ Bingerville","","3","","1779C2","FFFFFF","","",""
"102822-10403055","102822-Gbaka d'Adjamé","","gbaka : Adjamé gare en haut ↔ Cocody Riviera M'pouto","","3","","1779C2","FFFFFF","","",""
"102822-10403061","102822-Gbaka de Yopougon","","gbaka : Adjamé Texaco ↔ Yopougon Kowët","","3","","1779C2","FFFFFF","","",""
"102822-10404238","102822-Gbaka d'Adjamé","","gbaka : Adjamé gare en haut ↔ Cocody Akouédo","","3","","1779C2","FFFFFF","","",""
"102822-10406129","102822-Gbaka de Treichville","","gbaka : Treichville Gare de Bassam ↔ Port-Bouët Gonzagueville","","3","","1779C2","FFFFFF","","",""
"102822-10406387","102822-Gbaka d'Adjamé","","gbaka : Yopougon Palais ↔ Adjamé Renault","","3","","1779C2","FFFFFF","","",""
"102822-10406547","102822-Gbaka d'Adjamé","","gbaka : Yopougon Niangon Terminus 27 ↔ Adjamé Liberté","","3","","1779C2","FFFFFF","","",""
"102822-10406621","102822-Gbaka d'Adjamé","","gbaka : Adjamé Liberté ↔ Koumassi","","3","","1779C2","FFFFFF","","",""
"102822-10406865","102822-Gbaka d'Adjamé","","gbaka : Adjamé Liberté ↔ Yopougon Palais","","3","","1779C2","FFFFFF","","",""
"102822-10407729","102822-Gbaka d'Adjamé","","gbaka : Adjamé Texaco ↔ Yopougon Camp Militaire","","3","","1779C2","FFFFFF","","",""
"102822-10407850","102822-Gbaka d'Adjamé","","gbaka : Yopougon Carrefour Académie ↔ Adjamé Texaco","","3","","1779C2","FFFFFF","","",""
"102822-10408669","102822-Woro-woro de Cocody","","woro woro : Riviera 2 ↔ Angré Terminus 81-82","","3","","1779C2","FFFFFF","","",""
"102822-10408694","102822-Woro-woro de Cocody","","woro woro : Riviera 2 ↔ Angré 22ème","","3","","1779C2","FFFFFF","","",""
