"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","continuous_pickup","continuous_drop_off","shape_dist_traveled","timepoint"
"102822-0","06:00:00","06:00:00","102822-NODE/9271804742","0","","","","","","","0"
"102822-0","07:36:02","07:36:02","102822-NODE/6899034709","1","","","","","","","0"
"102822-0","07:37:14","07:37:14","102822-NODE/10855579565","2","","","","","","","0"
"102822-0","07:38:38","07:38:38","102822-NODE/10591673051","3","","","","","","","0"
"102822-0","07:42:18","07:42:18","102822-NODE/6899034708","4","","","","","","","0"
"102822-0","07:45:08","07:45:08","102822-NODE/10591673050","5","","","","","","","0"
"102822-0","07:49:56","07:49:56","102822-NODE/10591673049","6","","","","","","","0"
"102822-0","07:51:23","07:51:23","102822-NODE/6899034707","7","","","","","","","0"
"102822-0","07:55:17","07:55:17","102822-NODE/9271804739","8","","","","","","","0"
"102822-0","07:56:10","07:56:10","102822-NODE/10863748341","9","","","","","","","0"
"102822-0","08:00:00","08:00:00","102822-NODE/10863748340","10","","","","","","","0"
"102822-1","06:00:00","06:00:00","102822-NODE/10863748339","0","","","","","","","0"
"102822-1","06:09:27","06:09:27","102822-NODE/10556365499","1","","","","","","","0"
"102822-1","06:13:55","06:13:55","102822-NODE/10556365498","2","","","","","","","0"
"102822-1","06:17:02","06:17:02","102822-NODE/10863748338","3","","","","","","","0"
"102822-1","06:21:40","06:21:40","102822-NODE/10855579564","4","","","","","","","0"
"102822-1","06:23:21","06:23:21","102822-NODE/6899053348","5","","","","","","","0"
"102822-1","06:54:30","06:54:30","102822-NODE/10863014856","6","","","","","","","0"
"102822-1","07:00:12","07:00:12","102822-NODE/6899053347","7","","","","","","","0"
"102822-1","08:00:00","08:00:00","102822-NODE/10856637709","8","","","","","","","0"
"102822-10","06:00:00","06:00:00","102822-NODE/6903268820","0","","","","","","","0"
"102822-10","06:10:39","06:10:39","102822-NODE/6903504058","1","","","","","","","0"
"102822-10","06:12:52","06:12:52","102822-NODE/6903504060","2","","","","","","","0"
"102822-10","06:14:04","06:14:04","102822-NODE/6903397407","3","","","","","","","0"
"102822-10","06:16:21","06:16:21","102822-NODE/6903397406","4","","","","","","","0"
"102822-10","06:17:18","06:17:18","102822-NODE/6903397405","5","","","","","","","0"
"102822-10","06:18:36","06:18:36","102822-NODE/6903397404","6","","","","","","","0"
"102822-10","06:20:00","06:20:00","102822-NODE/9340348210","7","","","","","","","0"
"102822-100","06:00:00","06:00:00","102822-NODE/7082269148","0","","","","","","","0"
"102822-100","06:12:21","06:12:21","102822-NODE/6902868224","1","","","","","","","0"
