"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"102822-NODE/10218963489","","Chez Rifat","","5.349222","-3.975893","","","0","","","0","",""
"102822-NODE/10218963490","","Carrefour garage","","5.347851","-3.975529","","","0","","","0","",""
"102822-NODE/10218963491","","Gorille carrefour","","5.346528","-3.975153","","","0","","","0","",""
"102822-NODE/10218963492","","Carrefour lavage","","5.345986","-3.974986","","","0","","","0","",""
"102822-NODE/10218963494","","Carrefour chefferie","","5.341507","-3.974229","","","0","","","0","",""
"102822-NODE/10218963495","","Carrefour Mosquée Golf","","5.338992","-3.979031","","","0","","","0","",""
"102822-NODE/10218963496","","Campus 2 portail","","5.337776","-3.984756","","","0","","","0","",""
"102822-NODE/10218963497","","District de Police de Cocody","","5.336785","-3.985904","","","0","","","0","",""
"102822-NODE/10218963498","","Campus 1 portail","","5.334455","-3.990403","","","0","","","0","",""
"102822-NODE/10218963499","","Carrefour Kadafy","","5.334673","-3.993748","","","0","","","0","",""
"102822-NODE/10218963500","","Carrefour Nsia","","5.335198","-3.998372","","","0","","","0","",""
"102822-NODE/10218963501","","Feu allocodrome","","5.335478","-4.000491","","","0","","","0","",""
"102822-NODE/10218963502","","Carrefour du marché Cococdy","","5.335702","-4.002202","","","0","","","0","",""
"102822-NODE/10219015672","","Carrefour du marché Cococdy","","5.335875","-4.002003","","","0","","","0","",""
"102822-NODE/10219015673","","Feu de pâtisserie","","5.335557","-3.999462","","","0","","","0","",""
"102822-NODE/10219015674","","Pharmacie Saint Marie","","5.335359","-3.997948","","","0","","","0","",""
"102822-NODE/10219015675","","Carrefour Kadhafi","","5.3348","-3.993374","","","0","","","0","",""
"102822-NODE/10219015676","","Campus 2 portail","","5.334655","-3.990409","","","0","","","0","",""
"102822-NODE/10219015677","","District de Police de Cocody","","5.336991","-3.985947","","","0","","","0","",""
"102822-NODE/10219015678","","Campus 1 portail","","5.337957","-3.984934","","","0","","","0","",""
"102822-NODE/10219015679","","Rond-point Axa","","5.338153","-3.975784","","","0","","","0","",""
"102822-NODE/10219015680","","Carrefour chefferie","","5.341637","-3.974276","","","0","","","0","",""
"102822-NODE/10219015681","","Coco","","5.344137","-3.974528","","","0","","","0","",""
"102822-NODE/10219015682","","Pharmacie Saint Pierre","","5.346128","-3.975091","","","0","","","0","",""
"102822-NODE/10219015683","","Chez Rifat","","5.349381","-3.976078","","","0","","","0","",""
