"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"102822-10179006","102822-Mo-Su","102822-0","Treichville Gare de Bassam","","0","","102822-10178669","0","0"
"102822-10179006","102822-Mo-Su","102822-1","Adjamé Liberté","","1","","102822-10178996","0","0"
"102822-10185142","102822-Mo-Su","102822-10","Mosquée Ado","","0","","102822-10185123","0","0"
"102822-10461146","102822-Mo-Su","102822-100","Angré Petro Ivoire","","0","","102822-10474251","0","0"
"102822-10461146","102822-Mo-Su","102822-101","Abobo Gare","","1","","102822-10474250","0","0"
"102822-10461307","102822-Mo-Su","102822-102","Adjamé Nouvelle Gare","","0","","102822-10461306","0","0"
"102822-10461307","102822-Mo-Su","102822-103","Carrefour Jaug","","1","","102822-10461305","0","0"
"102822-10461959","102822-Mo-Su","102822-104","Adjame mosquée","","0","","102822-10461958","0","0"
"102822-10461959","102822-Mo-Su","102822-105","Yopougon Lokoa","","1","","102822-10461957","0","0"
"102822-10474495","102822-Mo-Su","102822-106","Yopougon koweit","","0","","102822-10474494","0","0"
"102822-10474495","102822-Mo-Su","102822-107","Gare Kobenan Agban","","1","","102822-10474493","0","0"
"102822-10474747","102822-Mo-Su","102822-108","Yopougon Lubafrique","","0","","102822-10474746","0","0"
"102822-10474747","102822-Mo-Su","102822-109","Gare kobenan Agban","","1","","102822-10474745","0","0"
"102822-10185142","102822-Mo-Su","102822-11","Gare Abobo Kennedy","","1","","102822-10185122","0","0"
"102822-10476005","102822-Mo-Su","102822-110","Akouedo Attié","","0","","102822-10476004","0","0"
"102822-10476005","102822-Mo-Su","102822-111","Adjamé gare en haut","","1","","102822-10476003","0","0"
"102822-10476178","102822-Mo-Su","102822-112","Bingerville","","0","","102822-10476177","0","0"
"102822-10476178","102822-Mo-Su","102822-113","Gare Kobenan Agban","","1","","102822-10476176","0","0"
"102822-10476298","102822-Mo-Su","102822-114","Yopougon Boissy","","0","","102822-10476297","0","0"
"102822-10476298","102822-Mo-Su","102822-115","Adjame Agban","","1","","102822-10476296","0","0"
"102822-10480217","102822-Mo-Su","102822-116","Yopougon Camp Militaire","","0","","102822-10480216","0","0"
"102822-10480217","102822-Mo-Su","102822-117","Adjamé Agban","","1","","102822-10480215","0","0"
"102822-10480360","102822-Mo-Su","102822-118","Yopougon Niangon Terminus 27","","0","","102822-10480358","0","0"
"102822-10480360","102822-Mo-Su","102822-119","Gare Kobenan Agban","","1","","102822-10480359","0","0"
"102822-10185169","102822-Mo-Su","102822-12","Cocody Riviera M'badon","","0","","102822-10184954","0","0"
"102822-10480446","102822-Mo-Su","102822-120","Yopougon Carrefour Académie","","0","","102822-10480445","0","0"
"102822-10480446","102822-Mo-Su","102822-121","Gare Kobenan Agban","","1","","102822-10480444","0","0"
"102822-10480461","102822-Mo-Su","102822-122","Yopougon Carrefour Académie","","0","","102822-10480459","0","0"
"102822-10480461","102822-Mo-Su","102822-123","Adjamé mosquée","","1","","102822-10480460","0","0"
"102822-10480573","102822-Mo-Su","102822-124","Port-Bouët Vridi","","0","","102822-10480572","0","0"
"102822-10480573","102822-Mo-Su","102822-125","Adjamé Agban","","1","","102822-10480571","0","0"
